info,title,link,desc

"
        
  
  [法] 马克-安托万·马修 / 贾梦 / 北京联合出版公司·后浪出版公司 / 2016-1 / 60.00元

      ","

    画的秘密


    

  ",https://book.douban.com/subject/26662689/,"荣获瑞士谢尔漫画节最佳作品奖
欧洲漫画界最具实验性的概念型奇才、两届安古兰国际漫画节奖项得主马克-安托万·马修情感悬疑之作
堪比卡夫卡的诡异荒诞，兼具大卫·... "

"
        
  
  [法]艾玛纽埃尔·勒巴热 / 郭佳、颜筝 / 生活·读书·新知三联书店 / 2014-4 / 120.00

      ","

    切尔诺贝利之花


    

  ",https://book.douban.com/subject/25853069/,"1989年，19岁的艾玛纽埃尔在电视上目睹了切尔诺贝利核事故。
2007年，已是知名漫画家的艾玛纽埃尔亲身前往切尔诺贝利，参加了为期两周的驻地创作，他克服了... "

"
        
  
  [美] 尼尔·盖曼（Neil Gaiman）编、山姆·凯斯（Sam Keith） 等绘 / 韩钢 / 北京联合出版公司·后浪出版公司 / 2016-8 / 128.00元

      ","

    睡魔1：前奏与夜曲


    

  ",https://book.douban.com/subject/26783041/,"《美国众神》《坟场之书》《星尘》作者、奇幻大师尼尔·盖曼成名力作
世界奇幻奖、艾斯纳奖、安古兰获奖作品
IGN首佳漫画、《纽约时报》畅销书榜
《娱乐周刊》“... "

"
        
  
  [日] 安倍夜郎 / 陈颖 / 湖南文艺出版社 / 2013-1 / 25.00元

      ","

    深夜食堂 01


    

  ",https://book.douban.com/subject/20470917/,"下班后，总有个地方在等着你……
吃饱了，心暖了，明天请继续加油！
日本、台湾地区、韩国千万读者口碑相传
最温情、治愈的都市美食故事
第55回小学馆漫画奖、第... "

"
        
  
  [美] 莉兹·克里莫 / 周高逸 / 天津人民出版社 / 2016-4 / 39.00元

      ","

    我可以咬一口吗


    

  ",https://book.douban.com/subject/26755503/,《我可以咬一口吗》是美国漫画家莉兹•克里莫继《你今天真好看》之后的又一本清新暖萌的漫画集，收录了莉兹•克里莫一百多张逗趣漫画。书中集结了所有你能想到的各种萌... 

